d1, d2, mean, std
models/04_01/PPO_00_30/_23000000_steps
2, 2, -25.28, 21.26
2, 3, -28.52, 19.93
2, 4, -32.46, 13.67
2, 5, -28.16, 22.40
2, 6, -32.56, 16.98
2, 7, -33.94, 15.19
2, 8, -33.12, 18.81
2, 9, -37.10, 12.91
2, 10, -34.20, 18.40
3, 2, -21.20, 19.06
3, 3, -16.58, 24.62
3, 4, -27.82, 19.14
3, 5, -30.06, 14.85
3, 6, -24.74, 23.62
3, 7, -31.20, 18.78
3, 8, -24.82, 21.30
3, 9, -33.44, 14.84
3, 10, -34.32, 18.36
4, 2, 7.88, 47.64
4, 3, 15.40, 41.80
4, 4, -15.12, 26.09
4, 5, -14.40, 23.17
4, 6, -16.20, 30.92
4, 7, -18.58, 27.04
4, 8, -15.40, 29.20
4, 9, -18.76, 34.49
4, 10, -27.74, 24.73
5, 2, 42.82, 70.84
5, 3, 31.28, 73.02
5, 4, 16.92, 59.39
5, 5, 7.50, 52.71
5, 6, 5.44, 45.78
5, 7, -7.18, 45.53
5, 8, -2.22, 37.35
5, 9, -17.66, 38.72
5, 10, -14.60, 40.97
6, 2, 105.62, 111.01
6, 3, 39.46, 65.26
6, 4, 46.86, 72.88
6, 5, 25.62, 71.74
6, 6, 25.74, 57.67
6, 7, 19.26, 78.37
6, 8, 13.24, 55.95
6, 9, 9.58, 56.85
6, 10, 16.68, 53.27
7, 2, 132.76, 172.58
7, 3, 110.16, 135.79
7, 4, 70.64, 109.01
7, 5, 45.80, 95.82
7, 6, 35.50, 88.79
7, 7, 33.84, 83.87
7, 8, 13.70, 80.84
7, 9, -0.42, 56.85
7, 10, 12.54, 55.27
8, 2, 184.82, 228.17
8, 3, 164.98, 191.80
8, 4, 125.66, 149.05
8, 5, 72.70, 105.56
8, 6, 116.96, 168.62
8, 7, 65.20, 115.49
8, 8, 36.04, 80.14
8, 9, 18.76, 67.29
8, 10, 3.52, 60.59
9, 2, 320.18, 358.98
9, 3, 171.36, 216.38
9, 4, 129.10, 184.06
9, 5, 126.74, 159.07
9, 6, 91.54, 150.43
9, 7, 98.44, 153.16
9, 8, 41.98, 81.99
9, 9, 35.84, 83.33
9, 10, 22.28, 89.92
10, 2, 222.24, 261.87
10, 3, 141.98, 139.93
10, 4, 100.82, 159.39
10, 5, 101.90, 137.25
10, 6, 85.96, 115.03
10, 7, 70.26, 114.33
10, 8, 64.22, 123.35
10, 9, 65.30, 102.76
10, 10, 43.86, 70.68
