d1, d2, mean, std
models/04_01/PPO_00_30/_50000000_steps
2, 2, -25.56, 22.95
2, 3, -32.92, 15.78
2, 4, -31.64, 11.70
2, 5, -30.46, 18.29
2, 6, -33.94, 14.64
2, 7, -35.68, 11.69
2, 8, -34.58, 14.64
2, 9, -33.14, 18.86
2, 10, -35.98, 16.01
3, 2, -14.54, 23.47
3, 3, -18.48, 20.43
3, 4, -25.80, 24.79
3, 5, -27.62, 20.74
3, 6, -29.74, 17.52
3, 7, -32.52, 16.25
3, 8, -26.48, 19.14
3, 9, -33.06, 15.16
3, 10, -33.68, 16.63
4, 2, 0.56, 34.69
4, 3, 11.22, 43.65
4, 4, -13.34, 38.44
4, 5, -10.02, 29.29
4, 6, -17.78, 29.32
4, 7, -18.18, 24.28
4, 8, -21.08, 24.43
4, 9, -25.28, 25.48
4, 10, -29.44, 21.09
5, 2, 49.90, 76.76
5, 3, 46.90, 75.32
5, 4, 20.22, 60.77
5, 5, 10.52, 64.33
5, 6, 4.74, 43.69
5, 7, -2.82, 46.98
5, 8, -5.20, 34.13
5, 9, -12.40, 47.30
5, 10, -13.66, 43.62
6, 2, 111.78, 129.19
6, 3, 76.92, 110.91
6, 4, 46.68, 98.77
6, 5, 38.62, 87.58
6, 6, 22.74, 58.78
6, 7, 7.96, 61.02
6, 8, -3.32, 45.30
6, 9, 8.54, 54.06
6, 10, 7.12, 47.22
7, 2, 143.80, 160.54
7, 3, 140.48, 162.60
7, 4, 92.76, 121.53
7, 5, 46.06, 87.58
7, 6, 24.94, 84.90
7, 7, 16.44, 59.17
7, 8, 14.78, 69.23
7, 9, -7.78, 45.71
7, 10, 18.80, 65.46
8, 2, 146.02, 192.05
8, 3, 161.26, 211.35
8, 4, 101.56, 119.86
8, 5, 59.46, 86.90
8, 6, 90.30, 122.73
8, 7, 42.84, 91.56
8, 8, 22.54, 64.97
8, 9, 18.66, 67.95
8, 10, 0.42, 64.89
9, 2, 339.70, 384.20
9, 3, 142.08, 193.16
9, 4, 168.28, 246.28
9, 5, 160.20, 179.54
9, 6, 88.98, 133.14
9, 7, 48.76, 67.89
9, 8, 41.54, 103.43
9, 9, 40.84, 102.95
9, 10, 30.64, 84.15
10, 2, 172.62, 208.58
10, 3, 186.58, 186.49
10, 4, 122.52, 199.84
10, 5, 100.86, 142.48
10, 6, 146.14, 169.91
10, 7, 71.42, 113.40
10, 8, 47.34, 88.87
10, 9, 38.66, 79.93
10, 10, 46.88, 87.50
